name
C-terminal domain
N-terminal domain
Bacterial regulatory proteins
Initiator Rep protein
Initiator Replication protein
AAA domain
BspA type Leucine rich repeat region ( copies)
N-terminal
Putative cell wall binding repeat
Reverse transcriptase (RNA-dependent DNA polymerase)
Listeria-Bacteroides repeat domain (List_Bact_rpt)
Histidine kinase-
Secretion system C-terminal sorting domain
Bifunctional DNA primase/polymerase
His Kinase A (phospho-acceptor) domain
