x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
7.6406384,19.87251,16142,1.0,I,I-E,13.0,benchmark
9.630274,15.008443,16143,1.0,I,I-C,7.0,benchmark
4.5922623,1.2771362,16144,1.0,I,I-E,7.0,benchmark
6.1726775,17.339466,16145,1.0,I,I-B,8.0,benchmark
8.157047,0.70733494,16146,1.0,I,I-E,8.0,benchmark
14.297361,8.755333,16147,1.0,III,III-A,9.0,flsh
4.3472276,6.2456183,16148,1.0,I,I-F,6.0,benchmark
0.8688892,5.18501,16149,2.0,II,II-A,4.0,benchmark
3.7919624,-1.9478122,16150,1.0,I,I-E,14.0,benchmark
5.375404,-1.8614886,16151,1.0,I,I-E,9.0,benchmark
13.68872,8.049731,16152,1.0,III,III-A,14.0,benchmark
4.413963,0.08244024,16153,1.0,I,I-E,8.0,benchmark
3.5640476,-0.73264176,16154,1.0,I,I-E,13.0,benchmark
17.956694,-2.6241562,16155,1.0,I,I-E,12.0,benchmark
-3.0324636,13.025609,16156,1.0,I,I-F,7.0,benchmark
21.359875,3.1769357,16157,1.0,I,I-E,8.0,benchmark
9.238723,-0.55973375,16158,1.0,I,I-E,8.0,benchmark
-3.0218208,13.068022,16159,1.0,I,I-F,7.0,benchmark
5.3737154,-1.8646498,16160,1.0,I,I-E,9.0,benchmark
8.376996,22.177486,16161,1.0,I,I-C,9.0,benchmark
15.5907955,-0.65613616,16162,1.0,I,I-F,7.0,benchmark
5.666418,6.148811,16163,1.0,I,I-F,6.0,benchmark
-3.027329,13.047055,16164,1.0,I,I-F,7.0,benchmark
2.3519244,-0.81030697,16165,1.0,I,I-E,13.0,benchmark
5.4421163,3.9625924,16166,1.0,I,I-E,13.0,benchmark
6.4716,4.2432632,16167,1.0,I,I-E,14.0,benchmark
-3.0304215,13.033134,16168,1.0,I,I-F,7.0,benchmark
-3.0342267,13.023035,16169,1.0,I,I-F,7.0,benchmark
-3.0300424,13.022651,16170,1.0,I,I-F,7.0,benchmark
15.591062,-0.65632164,16171,1.0,I,I-F,7.0,benchmark
-15.149121,15.898928,16172,1.0,I,I-E,12.0,benchmark
-5.90871,8.461248,16173,1.0,I,I-E,12.0,benchmark
-5.5576587,26.207706,16174,1.0,I,I-E,9.0,benchmark
-3.250792,12.564679,16175,1.0,I,I-F,6.0,benchmark
5.795387,1.0989854,16176,1.0,I,I-E,8.0,benchmark
6.0502706,-8.381018,16177,1.0,I,I-E,11.0,benchmark
3.7731967,12.054151,16178,1.0,I,I-C,10.0,benchmark
-0.43057528,13.433954,16179,1.0,I,I-E,5.0,benchmark
-0.6234109,13.204739,16180,1.0,I,I-E,5.0,benchmark
5.4017925,12.684622,16181,1.0,I,I-E,9.0,benchmark
-0.42484602,13.441478,16182,1.0,I,I-E,5.0,benchmark
5.9911933,11.650344,16183,1.0,I,I-E,9.0,benchmark
-0.59802026,13.191485,16184,1.0,I,I-E,5.0,benchmark
17.9568,-2.6240985,16185,1.0,I,I-E,12.0,benchmark
26.117393,7.6625843,16186,1.0,I,I-E,11.0,benchmark
-3.2168434,12.43598,16187,1.0,I,I-F,6.0,benchmark
5.845406,11.585695,16188,1.0,I,I-B,11.0,benchmark
16.401234,3.736545,16189,1.0,I,I-F,6.0,benchmark
11.551826,6.944974,16190,1.0,III,III-B,7.0,benchmark
13.284576,5.249262,16191,1.0,III,III-D,12.0,benchmark
2.7502782,17.095503,16192,1.0,I,I-B,9.0,benchmark
5.0626993,6.643609,16193,1.0,I,I-F,6.0,benchmark
8.8632965,0.9635127,16194,1.0,I,I-E,9.0,benchmark
4.790757,1.7479018,16195,1.0,I,I-E,8.0,benchmark
15.160365,11.862682,16196,1.0,I,I-E,8.0,benchmark
10.393424,19.16089,16197,1.0,I,I-E,13.0,benchmark
3.5214765,9.980706,16198,1.0,I,I-F,4.0,benchmark
3.5015717,9.974207,16199,1.0,I,I-F,4.0,benchmark
9.198044,-0.46299216,16200,1.0,I,I-E,8.0,benchmark
16.74392,4.031433,16201,1.0,I,I-F,6.0,benchmark
5.6972585,18.660334,16202,1.0,I,I-B,8.0,benchmark
12.464504,6.2999845,16203,1.0,III,III-C,13.0,flsh
5.588198,18.666111,16204,1.0,I,I-B,7.0,flsh
12.382669,6.782153,16205,1.0,III,III-B,10.0,flsh
12.441672,6.2043824,16206,1.0,III,III-B,14.0,flsh
12.2929325,1.1885941,16207,1.0,I,I-C,5.0,flsh
13.079786,7.3121367,16208,1.0,III,III-B,10.0,flsh
4.499086,17.32832,16209,1.0,I,I-B,5.0,flsh
