x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
8.030225,13.557397,15818,2.0,II,II-A,4.0,benchmark,II
-15.255278,15.360755,15819,1.0,I,I-E,13.0,benchmark,I
-15.522362,12.721389,15820,1.0,I,I-E,12.0,benchmark,I
-15.520984,12.7226,15821,1.0,I,I-E,12.0,benchmark,I
-15.22139,15.350253,15822,1.0,I,I-E,15.0,benchmark,I
-15.255843,15.362754,15823,1.0,I,I-E,13.0,benchmark,I
5.972191,19.259958,15824,2.0,II,II-A,4.0,benchmark,II
8.007386,13.544443,15825,2.0,II,II-A,4.0,benchmark,II
6.011956,7.4490013,15826,1.0,I,I-F,6.0,benchmark,I
6.5350223,20.5285,15827,2.0,II,II-A,4.0,benchmark,II
-2.4446902,23.886782,15828,1.0,I,I-E,10.0,benchmark,I
-4.356552,3.5361636,15829,1.0,I,I-E,14.0,benchmark,I
-0.8753657,-1.3603417,15830,1.0,I,I-E,12.0,benchmark,I
1.2920642,-2.59257,15831,1.0,I,I-E,12.0,benchmark,I
1.5525905,-2.738369,15832,1.0,I,I-E,11.0,benchmark,I
1.2539297,-2.6266258,15833,1.0,I,I-E,13.0,benchmark,I
-3.5216243,4.3453693,15834,1.0,I,I-E,13.0,benchmark,I
10.189976,-6.759127,15835,1.0,III,III-A,5.0,benchmark,III
12.405273,10.04752,15836,1.0,I,I-E,8.0,benchmark,I
13.213868,14.546462,15837,1.0,I,I-B,13.0,benchmark,I
-0.5316689,9.803211,15838,1.0,I,I-C,7.0,benchmark,I
6.117131,4.1859093,15839,1.0,I,I-E,8.0,benchmark,I
5.9923224,1.4581492,15840,1.0,I,I-F,6.0,benchmark,I
3.6666563,10.688504,15841,1.0,I,I-F,6.0,benchmark,I
6.3680763,1.8595409,15842,1.0,I,I-F,7.0,benchmark,I
5.9921,1.457311,15843,1.0,I,I-F,6.0,benchmark,I
8.140403,11.507119,15844,1.0,I,I-C,7.0,benchmark,I
6.3594866,1.8670626,15845,1.0,I,I-F,7.0,benchmark,I
6.143595,7.964459,15846,1.0,I,I-F_T,9.0,benchmark,I
3.731225,10.68226,15847,1.0,I,I-F,7.0,benchmark,I
3.5809872,12.873588,15848,1.0,III,III-D,12.0,benchmark,III
13.408097,10.579759,15849,1.0,I,I-F_T,5.0,benchmark,I
5.9357724,1.4573525,15850,1.0,I,I-F,6.0,benchmark,I
3.6933038,10.6880865,15851,1.0,I,I-F,7.0,benchmark,I
6.105046,4.203321,15852,1.0,I,I-E,8.0,benchmark,I
8.348379,11.840959,15853,1.0,I,I-F,9.0,benchmark,I
12.756367,17.342764,15854,2.0,II,II-D,2.0,benchmark,II
8.598085,12.140757,15855,1.0,I,I-F_T,8.0,benchmark,I
8.952241,11.9129,15856,1.0,I,I-F,7.0,benchmark,I
8.72738,11.723574,15857,1.0,I,I-F,7.0,benchmark,I
-0.9019212,9.970704,15858,1.0,I,I-C,7.0,benchmark,I
13.926166,8.609136,15859,1.0,I,I-F,6.0,benchmark,I
15.877361,11.10992,15860,1.0,I,I-E,8.0,benchmark,I
10.825874,8.432922,15861,1.0,I,I-B,9.0,flsh,I
4.4173026,13.588824,15862,1.0,III,III-B,7.0,flsh,III
6.1512027,14.029962,15863,1.0,III,III-A,5.0,flsh,III
6.1518183,14.042407,15864,1.0,III,III-A,5.0,flsh,III
11.603086,8.196418,15865,1.0,I,I-B,8.0,flsh,I
7.9122868,13.436701,15866,2.0,II,II-A,4.0,flsh,II
4.6106277,9.586772,15867,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,Not-Annotated-By-Cctyper
9.338793,15.648103,15868,1.0,I,I-C,7.0,flsh,I
7.022592,14.263469,15869,1.0,III,III-A,14.0,flsh,III
4.4188066,14.576857,15870,1.0,III,III-D,9.0,flsh,III
4.6837487,13.880876,15871,1.0,III,III-B,9.0,flsh,III
9.597029,7.459682,15872,1.0,I,I-C,4.0,flsh,I
6.76699,12.958196,15873,1.0,III,III-A,12.0,flsh,III
10.922371,8.048511,15874,1.0,I,I-B,8.0,flsh,I
8.357115,5.6927447,15875,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
8.045868,5.7953014,15876,1.0,I,I-E,8.0,flsh,I
8.041439,5.7930336,15877,1.0,I,I-E,8.0,flsh,I
2.2858737,12.972753,15878,1.0,III,III-D,10.0,flsh,III
2.3108642,12.993737,15879,1.0,III,III-D,10.0,flsh,III
8.021737,13.53118,15880,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
-0.07035638,21.44686,15881,1.0,I,I-D,10.0,flsh,I
-0.3971998,21.772123,15882,1.0,I,I-D,9.0,benchmark,I
-0.6075427,9.801926,15883,1.0,I,I-C,7.0,benchmark,I
-5.211779,25.66903,15884,1.0,I,I-E,8.0,benchmark,I
8.639435,9.192376,15885,1.0,I,I-D,3.0,benchmark,I
-3.3593822,12.776585,15886,1.0,III,III-B,10.0,benchmark,III
7.177957,11.1639805,15887,2.0,II,II-A,5.0,benchmark,II
6.0875554,19.126043,15888,2.0,II,II-A,4.0,benchmark,II
8.162109,5.695014,15889,1.0,I,I-E,6.0,benchmark,I
0.5348173,7.9939513,15890,1.0,I,I-E,12.0,benchmark,I
