x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
3.3900225,9.112671,16093,2.0,II,II-D,1.0,benchmark,II
0.4339659,8.676592,16094,1.0,I,I-C,10.0,benchmark,I
3.3900092,9.12563,16095,2.0,II,II-D,1.0,benchmark,II
1.4001607,14.592144,16096,1.0,I,I-C,9.0,benchmark,I
0.35170355,8.181184,16097,1.0,I,I-C,11.0,benchmark,I
0.3559819,8.201057,16098,1.0,I,I-C,11.0,benchmark,I
0.35177538,8.188553,16099,1.0,I,I-C,11.0,benchmark,I
0.32914123,8.225412,16100,1.0,I,I-C,11.0,benchmark,I
1.4003133,14.599184,16101,1.0,I,I-C,9.0,benchmark,I
6.9950843,22.21763,16102,1.0,I,I-C,7.0,benchmark,I
1.3980067,14.591599,16103,1.0,I,I-C,9.0,benchmark,I
8.632147,15.703544,16104,1.0,I,I-C,10.0,benchmark,I
3.3580115,9.1331835,16105,2.0,II,II-D,1.0,benchmark,II
