x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
4.312282,-0.26147774,3720,1,I,I-E,10,flsh
4.3062687,-0.3271378,3721,1,I,I-E,10,flsh
-0.9400323,7.4022474,3722,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
4.3389144,6.060912,3723,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
7.8432055,4.485428,3724,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
5.936848,6.483218,3725,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
5.539813,6.8701715,3726,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,13,flsh
10.030415,4.5444403,3727,2,II,II-A,7,flsh
9.850211,-2.1290877,3728,1,III,III-D,10,flsh
6.79447,1.770563,3729,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
8.228666,2.9954536,3730,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
8.665938,0.18298575,3731,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
5.8164377,1.44926,3732,1,I,I-G,7,flsh
7.241053,14.94968,3733,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,25,flsh
5.7045016,1.5710914,3734,1,I,I-G,7,flsh
5.112546,3.141563,3735,1,I,I-G,4,flsh
9.92741,-1.7248399,3736,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
7.9119515,15.980601,3737,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
0.2128744,6.5992913,3738,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
3.947559,0.57806987,3739,1,I,I-E,3,flsh
6.5638614,1.6818115,3740,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
12.136705,3.1229436,3741,1,III,III-A,6,flsh
10.255454,5.294069,3742,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
5.458413,0.7544564,3743,1,I,I-E,3,flsh
4.6765623,2.6763382,3744,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
8.877965,5.5218215,3745,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,11,flsh
11.740973,6.4131036,3746,2,II,II-A,4,flsh
14.822537,9.499459,3747,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
11.174703,2.9146209,3748,1,III,III-A,5,flsh
5.241868,6.6154056,3749,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
2.056439,4.4730444,3750,2,II,II-D,1,flsh
5.483385,0.028926658,3751,1,I,I-E,8,flsh
1.4362983,7.0250707,3752,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
6.524836,4.801295,3753,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
2.175918,4.527092,3754,2,II,II-D,1,flsh
7.1382117,7.5742607,3755,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
3.8677735,-1.9050294,3756,1,I,I-E,8,flsh
5.92219,7.1570234,3757,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
3.404148,5.9739823,3758,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
0.6709345,7.218314,3759,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
12.006861,3.6588085,3760,1,III,III-A,11,flsh
5.5589437,1.6426709,3761,1,I,I-G,5,flsh
6.8778167,7.584924,3762,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,44,flsh
10.546775,6.876691,3763,2,II,II-A,3,flsh
11.41501,0.5363264,3764,1,III,III-D,7,flsh
2.7943668,7.2988386,3765,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
5.5457835,3.850222,3766,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
9.262174,6.927128,3767,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
10.505582,1.9799571,3768,1,III,III-D,13,flsh
8.472679,4.73653,3769,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
-1.052377,7.1839237,3770,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
9.711854,7.8604827,3771,1,I,I-B,9,flsh
5.4590855,0.119309284,3772,1,I,I-E,6,flsh
-0.9695197,7.142048,3773,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
17.347345,-2.0398502,3774,2,V,V-F2,1,flsh
16.308857,-3.0778458,3775,2,V,V-F2,1,flsh
16.331167,-3.2189353,3776,2,V,V-F2,1,flsh
