x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
-9.95309,3.375723,14870,1.0,I,I-E,12.0,benchmark
7.1882286,-1.5920595,14871,1.0,I,I-B,13.0,benchmark
8.019975,-1.8343296,14872,1.0,I,I-B,8.0,benchmark
8.337285,-1.6259549,14873,1.0,I,I-B,8.0,benchmark
3.1880958,2.8844125,14874,1.0,III,III-A,11.0,flsh
3.1965702,2.897008,14875,1.0,III,III-A,11.0,benchmark
7.6735168,10.291123,14876,1.0,I,I-F,6.0,benchmark
0.19813296,8.547119,14877,1.0,I,I-E,13.0,benchmark
7.1117206,5.4608316,14878,1.0,I,I-E,12.0,benchmark
-1.2252995,-0.3138658,14879,1.0,III,III-D,9.0,benchmark
-1.3146805,-0.51654905,14880,1.0,III,III-D,12.0,benchmark
7.574429,5.3775144,14881,1.0,I,I-E,10.0,benchmark
7.473992,6.677226,14882,1.0,I,I-E,8.0,benchmark
0.67633945,4.0824,14883,2.0,II,II-D,1.0,benchmark
0.66897696,4.082262,14884,2.0,II,II-D,1.0,benchmark
0.6726181,4.075015,14885,2.0,II,II-D,1.0,benchmark
0.6728638,4.085677,14886,2.0,II,II-D,1.0,benchmark
8.319362,-3.9842434,14887,1.0,I,I-B,8.0,benchmark
2.78208,2.7361898,14888,1.0,III,III-A,9.0,benchmark
6.555598,5.2560425,14889,1.0,I,I-E,7.0,benchmark
16.207548,19.380589,14890,1.0,I,I-E,9.0,benchmark
0.81174034,4.870585,14891,1.0,IV,IV-A3,7.0,benchmark
1.3983313,-3.9318268,14892,2.0,II,II-A,4.0,benchmark
16.209164,19.381979,14893,1.0,I,I-E,9.0,benchmark
2.7976787,6.1923914,14894,1.0,I,I-E,9.0,benchmark
-0.57787055,-0.07072352,14895,1.0,III,III-A,9.0,benchmark
18.28997,3.4930937,14896,2.0,II,II-A,4.0,benchmark
-8.360476,5.318416,14897,1.0,I,I-C,8.0,benchmark
-8.360561,5.3183813,14898,1.0,I,I-C,8.0,benchmark
18.305548,3.5143883,14899,2.0,II,II-A,4.0,benchmark
18.281006,3.4829621,14900,2.0,II,II-A,4.0,benchmark
-8.359342,5.318292,14901,1.0,I,I-C,8.0,benchmark
6.249141,6.8883915,14902,1.0,I,I-E,9.0,benchmark
-0.54606974,5.879634,14903,2.0,V,V-K,1.0,flsh
8.273372,4.2197065,14904,1.0,I,I-G,5.0,flsh
-7.401782,10.34345,14905,1.0,I,I-E,12.0,benchmark
-4.3018827,10.107982,14906,1.0,I,I-E,11.0,benchmark
-3.0913517,11.343442,14907,1.0,I,I-E,12.0,benchmark
-3.1461196,11.804551,14908,1.0,I,I-E,11.0,benchmark
8.24854,-5.573624,14909,2.0,II,II-A,8.0,benchmark
0.40682682,17.55696,14910,1.0,I,I-E,11.0,benchmark
-3.1468964,11.816789,14911,1.0,I,I-E,11.0,benchmark
-3.1433825,11.806893,14912,1.0,I,I-E,11.0,benchmark
-3.1455767,11.806101,14913,1.0,I,I-E,11.0,benchmark
-3.1463225,11.807249,14914,1.0,I,I-E,11.0,benchmark
-3.1477475,11.833607,14915,1.0,I,I-E,11.0,benchmark
-4.3017173,10.105229,14916,1.0,I,I-E,11.0,benchmark
-4.3032165,10.108765,14917,1.0,I,I-E,11.0,benchmark
-4.303646,10.109032,14918,1.0,I,I-E,11.0,benchmark
-9.588905,13.294012,14919,1.0,I,I-E,12.0,benchmark
-9.588901,13.294049,14920,1.0,I,I-E,12.0,benchmark
9.3786335,9.309697,14921,1.0,I,I-F,7.0,flsh
9.389914,9.301966,14922,1.0,I,I-F,7.0,benchmark
2.77641,6.3434043,14923,1.0,I,I-E,9.0,benchmark
0.91065884,0.8992161,14924,1.0,III,III-B,9.0,benchmark
-3.9055362,10.591251,14925,1.0,I,I-E,13.0,benchmark
0.91195136,0.882738,14926,1.0,III,III-B,9.0,benchmark
0.5505532,-0.8253484,14927,1.0,III,III-D,20.0,benchmark
-0.8639029,7.5910816,14928,2.0,II,II-D,1.0,benchmark
7.4054103,5.5724864,14929,1.0,I,I-E,8.0,benchmark
6.5146203,-0.44569725,14930,1.0,I,I-B,7.0,benchmark
9.21124,10.218774,14931,1.0,I,I-F,6.0,benchmark
9.900379,16.581776,14932,1.0,I,I-C,8.0,flsh
9.900354,16.581785,14933,1.0,I,I-C,8.0,flsh
7.0042815,1.3909571,14934,1.0,I,I-B,5.0,flsh
5.4629054,1.9457504,14935,1.0,I,I-D,13.0,flsh
10.661995,-0.71955323,14936,1.0,I,I-C,7.0,benchmark
8.812883,9.305751,14937,1.0,I,I-F,9.0,benchmark
7.694905,5.722876,14938,1.0,I,I-E,8.0,benchmark
7.461796,6.662901,14939,1.0,I,I-E,8.0,benchmark
-4.593877,9.017285,14940,1.0,I,I-E,14.0,benchmark
1.9597651,7.9516764,14941,1.0,I,I-E,11.0,flsh
8.828341,4.662891,14942,1.0,I,I-G,11.0,benchmark
2.2056916,1.5731509,14943,1.0,III,III-A,4.0,flsh
1.7960516,-0.2417816,14944,1.0,III,III-B,12.0,flsh
3.867799,6.1256146,14945,1.0,I,I-E,4.0,flsh
2.2505236,1.0778775,14946,1.0,III,III-A,5.0,flsh
2.346008,1.030636,14947,1.0,III,III-A,5.0,flsh
6.462248,1.7275829,14948,1.0,I,I-D,3.0,flsh
7.201039,0.8264003,14949,1.0,I,I-A,8.0,flsh
6.140413,8.905225,14950,1.0,IV,IV-A3,8.0,flsh
6.376693,8.751406,14951,1.0,IV,IV-A3,11.0,flsh
1.2539054,0.2393969,14952,1.0,III,III-B,3.0,flsh
7.638284,-0.5132456,14953,1.0,I,I-B,9.0,flsh
7.6059947,-0.5320001,14954,1.0,I,I-B,9.0,flsh
8.292371,9.5560665,14955,1.0,I,I-F,6.0,benchmark
0.1963672,8.542151,14956,1.0,I,I-E,13.0,benchmark
8.130001,5.5880175,14957,1.0,I,I-E,8.0,benchmark
8.087864,5.5746803,14958,1.0,I,I-E,8.0,benchmark
-1.6071271,-7.315056,14959,1.0,I,I-E,14.0,benchmark
-4.5751553,8.993577,14960,1.0,I,I-E,15.0,benchmark
16.354368,13.098368,14961,1.0,I,I-F,6.0,benchmark
6.792584,3.4364522,14962,1.0,IV,IV-A1,5.0,benchmark
6.835776,-3.773562,14963,2.0,II,II-A,4.0,flsh
11.4736395,8.423755,14964,1.0,I,I-F_T,11.0,benchmark
10.737218,-0.62492794,14965,1.0,I,I-C,7.0,benchmark
8.283164,10.205563,14966,1.0,I,I-F,7.0,benchmark
8.829501,9.308509,14967,1.0,I,I-F,9.0,benchmark
1.1129918,4.650869,14968,2.0,II,II-B,1.0,benchmark
-7.0902634,1.7086253,14969,1.0,I,I-E,11.0,benchmark
9.409154,4.522633,14970,1.0,I,I-G,6.0,benchmark
-7.817656,10.312062,14971,1.0,I,I-E,12.0,benchmark
0.3955712,0.13284631,14972,1.0,III,III-D,4.0,flsh
-6.597633,-1.1165696,14973,1.0,I,I-E,13.0,benchmark
-7.3960714,10.350908,14974,1.0,I,I-E,12.0,benchmark
8.194739,10.117938,14975,1.0,I,I-F,8.0,benchmark
10.289673,24.0702,14976,1.0,I,I-E,12.0,benchmark
-5.8892064,12.106403,14977,1.0,I,I-E,10.0,benchmark
2.142136,7.2316823,14978,1.0,I,I-E,9.0,flsh
8.420898,-0.112112395,14979,1.0,I,I-B,10.0,benchmark
-6.599676,-1.1163309,14980,1.0,I,I-E,13.0,benchmark
2.3002326,6.496357,14981,1.0,I,I-E,8.0,benchmark
8.769926,0.5608251,14982,1.0,I,I-B,7.0,benchmark
6.831371,-3.7846603,14983,2.0,II,II-A,4.0,benchmark
-0.30397096,19.298872,14984,2.0,II,II-A,4.0,benchmark
6.7619753,-3.3369808,14985,2.0,II,II-A,4.0,benchmark
6.870454,-3.7396266,14986,2.0,II,II-A,4.0,benchmark
9.277855,9.284579,14987,1.0,I,I-F,6.0,benchmark
8.470243,8.930886,14988,1.0,I,I-F,6.0,benchmark
2.7637746,10.744838,14989,1.0,I,I-C,7.0,benchmark
7.1600785,-1.4018679,14990,1.0,I,I-B,10.0,benchmark
1.127722,5.172232,14991,2.0,VI,VI-B1,1.0,benchmark
1.1287938,5.1708465,14992,2.0,VI,VI-B1,1.0,benchmark
6.86811,12.881051,14993,2.0,VI,VI-B1,1.0,benchmark
6.870749,12.8832855,14994,2.0,VI,VI-B1,1.0,benchmark
1.1306757,5.1809945,14995,2.0,VI,VI-B1,1.0,benchmark
6.8677,12.88069,14996,2.0,VI,VI-B1,1.0,benchmark
6.871538,12.883559,14997,2.0,VI,VI-B1,1.0,benchmark
6.8482,12.861484,14998,2.0,VI,VI-B1,1.0,benchmark
1.1418451,5.1901217,14999,2.0,VI,VI-B1,1.0,benchmark
6.896719,12.9065275,15000,2.0,VI,VI-B1,1.0,benchmark
6.870501,12.883241,15001,2.0,VI,VI-B1,1.0,benchmark
1.1293461,5.16867,15002,2.0,VI,VI-B1,1.0,benchmark
1.1373537,5.177546,15003,2.0,VI,VI-B1,1.0,benchmark
1.1283348,5.185399,15004,2.0,VI,VI-B1,1.0,benchmark
6.8633566,12.881651,15005,2.0,VI,VI-B1,1.0,benchmark
12.171888,13.857691,15006,2.0,VI,VI-B1,1.0,benchmark
12.171995,13.85746,15007,2.0,VI,VI-B1,1.0,benchmark
12.170827,13.8591585,15008,2.0,VI,VI-B1,1.0,benchmark
6.8617187,12.883789,15009,2.0,VI,VI-B1,1.0,benchmark
6.865048,12.882964,15010,2.0,VI,VI-B1,1.0,benchmark
6.8624425,12.883312,15011,2.0,VI,VI-B1,1.0,benchmark
12.171997,13.857937,15012,2.0,VI,VI-B1,1.0,benchmark
12.171981,13.857914,15013,2.0,VI,VI-B1,1.0,benchmark
